ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7,0.7115682682823729,0.6901354944915791,,,0.007998228073120117,0.0,0.0,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.89,0.7256337859544452,0.7115090182605773,0.7431318681318682,,,0.00899958610534668,0.015625,173.61909555726282,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.866,0.7018485390578414,0.6812904453749524,0.7335035750766088,,,0.0070056915283203125,0.015625,223.0329430982848,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.892,0.7197309417040358,0.7162410623084781,0.7233970706175341,,,0.007998943328857422,0.0,0.0,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.872,0.696969696969697,0.6915598762704375,0.7029177718832892,,,0.007999181747436523,0.0,0.0,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.876,0.7064393939393939,0.7035363531125135,0.7094815327260848,,,0.008000373840332031,0.015625,195.3033734652521,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.872,0.6242543797848856,0.6158784226385432,0.635031296117246,,,0.008999824523925781,0.0,0.0,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.646,0.5675142085021331,0.5782941017316017,0.6203378817413905,,,0.0070002079010009766,0.0,0.0,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.622,0.5574164360080368,0.5683333333333334,0.5962012248058377,,,0.0049991607666015625,0.015625,312.55246089278904,
2026-01-28 04:23:15,BE_temporary__quality_drop_acc_th0.05_bk3_ck2_quality_drop_all_seen_fit__042315,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.604,0.5723616006634875,0.6239637555427029,0.6958574474565946,,,0.004998922348022461,0.0,0.0,
